discount_rate,quantity,time_to_pickup_hours,pickup_hour,day_of_week,description_length,category_sell_rate,establishment_type,restaurant_avg_rating,restaurant_past_expired_rate,restaurant_offer_count,visibility,sell_through_rate_realtime,time_remaining_hours,view_count,engagement_rate,expired,offer_id,restaurant_id,category,created_at
27.373845917652183,10,3.0,13,6,33,0.5584006357503801,BAKERY,3.237076379057974,0.4,0,IDENTIFIED,0.5109653075283143,2.0,33,0.1452824558048973,0,O00001,R031,DESSERT,2024-01-01 00:00:00.000
53.54140361568727,28,3.0,13,1,27,0.6187003736900818,BAKERY,3.3482373264265872,0.4,0,IDENTIFIED,0.558998804205322,2.0,83,0.11182931596094164,0,O00002,R042,DESSERT,2024-01-01 00:25:55.200
38.123019803384615,29,3.0,9,1,160,0.5646177625745632,BAKERY,3.237076379057974,0.0,1,ANONYMOUS,0.214751569210051,2.0,66,0.07404150274470085,0,O00003,R031,BREAKFAST,2024-01-01 00:51:50.400
35.01388351253567,7,4.0,19,5,75,0.39973016684813767,RESTAURANT,4.271886734691434,0.4,0,IDENTIFIED,0.49737017556818175,2.0,11,0.14540632555911134,0,O00004,R018,SEAFOOD,2024-01-01 01:17:45.600
35.3334658210799,20,4.0,13,4,104,0.6252515290335416,CAFE,3.091917580299283,0.4,0,ANONYMOUS,0.05907673387356477,2.0,59,0.15302024520840046,0,O00005,R064,DESSERT,2024-01-01 01:43:40.800
53.29571057508585,14,0.5,21,2,100,0.4484490631917142,CATERING,3.593114160823445,0.4,0,IDENTIFIED,0.2657251676897572,2.0,26,0.19523882832542147,0,O00006,R067,PASTA,2024-01-01 02:09:36.000
35.05688870720019,16,2.0,14,4,173,0.5063415876430686,RESTAURANT,3.3528823975793207,0.4,0,ANONYMOUS,0.08899052453949326,2.0,18,0.11365226612341363,1,O00007,R037,SALAD,2024-01-01 02:35:31.200
22.751986792503644,23,2.0,12,2,137,0.6266154043589114,CAFE,3.8703122217420067,0.4,0,ANONYMOUS,0.14854971874064543,2.0,17,0.1709459808450246,1,O00008,R002,DESSERT,2024-01-01 03:01:26.400
38.93160308919325,7,2.0,14,3,33,0.5695006227386835,FOOD_TRUCK,3.1265420325537248,0.4,0,IDENTIFIED,0.3037018139984301,2.0,22,0.14577036061710957,0,O00009,R048,SANDWICH,2024-01-01 03:27:21.600
30.71803008853762,7,3.0,12,4,141,0.5493070484541882,FOOD_TRUCK,3.8641771950274,0.4,0,IDENTIFIED,0.36267433619666506,2.0,10,0.04489895565417194,0,O00010,R012,SANDWICH,2024-01-01 03:53:16.800
